t [ms] 	      u [m/s]
 47.38 	 0.37285400
 51.48 	 0.37339000
 67.81 	 0.36114300
115.44 	 0.35921200
129.10 	 0.35009200
137.38 	 0.36497500
138.98 	 0.35735700
149.59 	 0.35587100
154.71 	 0.35878300
166.00 	 0.37202600
167.87 	 0.35289700
180.04 	 0.36419400
182.40 	 0.35156400
191.12 	 0.35361800
199.30 	 0.35840000
202.32 	 0.34696500
218.10 	 0.35088900
220.83 	 0.34278100
238.79 	 0.34373100
250.05 	 0.34379300
252.47 	 0.33678800
263.86 	 0.33553100
269.11 	 0.32382100
271.30 	 0.32966100
275.88 	 0.34150900
292.54 	 0.32658000
303.96 	 0.34877400
322.81 	 0.32832700
337.98 	 0.32769900
345.61 	 0.34405300
350.42 	 0.33145400
352.49 	 0.32638000
369.12 	 0.33533200
370.50 	 0.32975200
374.28 	 0.34428300
406.31 	 0.34681200
409.58 	 0.33815200
457.23 	 0.34134000
473.45 	 0.34019100
499.10 	 0.34080400
499.85 	 0.34244400
502.39 	 0.33766200
504.13 	 0.34701100
525.88 	 0.34618400
531.49 	 0.33520900
546.06 	 0.34189200
553.84 	 0.33234300
580.56 	 0.33439700
580.79 	 0.34978600
588.18 	 0.35004600
603.33 	 0.33055000
623.01 	 0.33801400
631.66 	 0.33527000
643.31 	 0.32993600
644.95 	 0.32976800
651.94 	 0.33232800
655.50 	 0.32526200
696.28 	 0.33337000
712.22 	 0.31873200
718.17 	 0.32777500
756.78 	 0.34518700
760.70 	 0.34219800
797.35 	 0.33767700
822.71 	 0.35233000
826.28 	 0.33899500
829.17 	 0.33568400
834.41 	 0.34678100
847.32 	 0.34498800
856.93 	 0.33723200
868.82 	 0.34771600
919.95 	 0.34570900
933.33 	 0.35686700
958.06 	 0.33591400
971.07 	 0.35016900
983.89 	 0.34806900
1023.45 	 0.34955600
1024.43 	 0.34882000
1026.15 	 0.33833600
1031.66 	 0.34702700
1070.11 	 0.34573900
1071.85 	 0.33611300
1084.16 	 0.33720200
1084.80 	 0.33450400
1121.93 	 0.34580000
1125.68 	 0.34365500
1137.96 	 0.33962300
1148.13 	 0.34748600
1161.48 	 0.35628500
1163.77 	 0.36503700
1183.03 	 0.35818500
1217.76 	 0.34423700
1222.65 	 0.34333300
1249.12 	 0.34912700
1259.47 	 0.35050600
1288.96 	 0.35007700
1299.12 	 0.34675100
1307.03 	 0.35384700
1314.25 	 0.34226000
1328.24 	 0.34644400
1354.27 	 0.34593800
1378.50 	 0.33672700
1379.02 	 0.33885700
1391.70 	 0.34806900
1393.89 	 0.33539300
1396.22 	 0.33436600
1411.61 	 0.34817600
1438.22 	 0.32612000
1469.95 	 0.32509300
1476.07 	 0.32930800
1491.93 	 0.34526400
1494.64 	 0.34011400
1507.07 	 0.33343100
1541.63 	 0.32705500
1552.34 	 0.33562300
1567.65 	 0.33684900
1584.95 	 0.33962300
1585.73 	 0.34400700
1591.72 	 0.34114100
1600.03 	 0.34123300
1601.72 	 0.32857200
1603.70 	 0.33406000
1610.83 	 0.33577600
1613.37 	 0.32592100
1619.93 	 0.32742300
1622.74 	 0.33361500
1635.63 	 0.34135500
1636.55 	 0.34704200
1642.11 	 0.33602100
1644.78 	 0.33215900
1651.44 	 0.34498800
1653.94 	 0.34992400
1661.47 	 0.32967600
1662.73 	 0.32961500
1663.57 	 0.33235800
1664.22 	 0.33507100
1667.75 	 0.32766800
1668.87 	 0.33994500
1678.29 	 0.33648100
1687.09 	 0.33268000
1705.42 	 0.32895500
1707.16 	 0.32897100
1719.71 	 0.33720200
1725.98 	 0.33113200
1747.15 	 0.33438100
1762.19 	 0.33836700
1782.47 	 0.33870400
1818.48 	 0.34872800
1825.62 	 0.32883300
1842.30 	 0.32618100
1845.57 	 0.33317100
1848.99 	 0.33767700
1876.15 	 0.34241300
1877.80 	 0.33314000
1896.25 	 0.32484800
1921.02 	 0.33802900
1922.93 	 0.32590500
1943.86 	 0.32555300
1946.06 	 0.32184300
1946.75 	 0.32809700
1956.19 	 0.32385100
1969.17 	 0.32585900
1974.50 	 0.34114100
1985.70 	 0.33786100
2048.02 	 0.32633400
2063.35 	 0.33801400
2066.68 	 0.33989900
2075.60 	 0.33301700
2078.85 	 0.33989900
2084.45 	 0.33134700
2116.63 	 0.33427400
2118.95 	 0.33338500
2157.40 	 0.34793100
2193.67 	 0.35444500
2195.50 	 0.34212200
2200.14 	 0.34115600
2208.21 	 0.34377700
2233.36 	 0.33706400
2252.09 	 0.34282700
2252.71 	 0.33772300
2271.41 	 0.34695000
2273.72 	 0.34345500
2274.95 	 0.35436900
2278.31 	 0.35959500
2293.36 	 0.35697400
2327.89 	 0.34713400
2346.58 	 0.34646000
2371.52 	 0.34823800
2386.64 	 0.35265200
2388.42 	 0.34221400
2394.21 	 0.34201500
2407.35 	 0.34810000
2416.52 	 0.33530100
2438.86 	 0.33205200
2452.20 	 0.33979200
2454.19 	 0.34621400
2468.80 	 0.33392200
2469.89 	 0.35407700
2486.29 	 0.35674400
2499.49 	 0.33729400
2507.77 	 0.34141700
2510.81 	 0.36079100
2518.25 	 0.34357800
2531.95 	 0.33859700
2586.59 	 0.35134900
2590.19 	 0.35087400
2600.53 	 0.33819800
2624.56 	 0.35450700
2626.52 	 0.34219800
2639.74 	 0.34250500
2643.85 	 0.34169300
2648.38 	 0.34316400
2663.96 	 0.33151500
2681.85 	 0.34442100
2710.40 	 0.33542400
2713.73 	 0.33497900
2721.02 	 0.34463600
2731.57 	 0.34175400
2755.18 	 0.34771600
2755.84 	 0.35643800
2785.94 	 0.35027600
2793.45 	 0.34929500
2796.82 	 0.35711200
2804.39 	 0.35895200
2805.86 	 0.34993900
2821.55 	 0.34780800
2855.85 	 0.35836900
2871.47 	 0.34590800
2878.96 	 0.34918800
2879.97 	 0.35217700
2891.13 	 0.35308100
2895.88 	 0.33824400
2926.30 	 0.34552500
2937.10 	 0.35666800
2949.18 	 0.34661300
2950.35 	 0.34414500
2959.26 	 0.36215500
2969.07 	 0.35636100
2974.16 	 0.34196900
2981.84 	 0.34428300
2982.41 	 0.34443600
3006.37 	 0.34788500
3016.05 	 0.34354700
3021.19 	 0.34676600
3046.94 	 0.35277500
3060.85 	 0.36324300
3066.03 	 0.35374000
3079.42 	 0.34926500
3187.16 	 0.33401400
3187.72 	 0.34126300
3190.30 	 0.34141700
3205.86 	 0.34127900
3206.11 	 0.34747100
3206.80 	 0.34216800
3207.38 	 0.33919400
3216.10 	 0.34790000
3221.49 	 0.33494900
3226.63 	 0.34363900
3237.02 	 0.35389300
3250.39 	 0.34877400
3261.13 	 0.33461100
3271.08 	 0.32438800
3311.16 	 0.33271100
3324.33 	 0.34307200
3336.16 	 0.35147200
3344.16 	 0.35415400
3348.69 	 0.34951000
3364.45 	 0.35064400
3365.89 	 0.35161000
3378.22 	 0.35858400
3389.24 	 0.35101200
3409.88 	 0.34327100
3437.71 	 0.35389300
3460.58 	 0.36005500
3463.26 	 0.35315800
3484.87 	 0.35009200
3489.03 	 0.36013200
3516.01 	 0.36655400
3526.05 	 0.34748600
3553.83 	 0.35387800
3556.52 	 0.36046900
3559.33 	 0.36667700
3589.77 	 0.36050000
3601.58 	 0.34055800
3616.25 	 0.35864500
3619.22 	 0.35939600
3632.99 	 0.35859900
3637.77 	 0.34785400
3642.78 	 0.34178500
3645.77 	 0.35510400
3658.01 	 0.36063800
3672.12 	 0.35348000
3687.88 	 0.34189200
3693.34 	 0.34650600
3693.61 	 0.35564100
3706.90 	 0.34290400
3707.50 	 0.34196900
3710.01 	 0.34367000
3745.51 	 0.34157000
3748.58 	 0.35291200
3757.24 	 0.34610700
3772.63 	 0.34872800
3794.36 	 0.33855100
3805.12 	 0.34914200
3811.78 	 0.35119600
3818.16 	 0.33727800
3840.52 	 0.33691000
3850.64 	 0.33586800
3851.06 	 0.34672000
3858.16 	 0.32989000
3859.88 	 0.34695000
3861.15 	 0.33493300
3864.76 	 0.34201500
3871.97 	 0.34095700
3884.97 	 0.34918800
3892.38 	 0.35153300
3909.04 	 0.35006200
3911.60 	 0.34488100
3948.40 	 0.34664300
3951.21 	 0.33901000
3969.00 	 0.34176900
3992.14 	 0.35591700
4010.30 	 0.35538000
4011.41 	 0.34501900
4018.52 	 0.34501900
4019.25 	 0.35413900
4020.08 	 0.36345800
4021.73 	 0.34469700
4031.04 	 0.34477400
4033.21 	 0.35274400
4039.02 	 0.35786300
4044.44 	 0.34943300
4045.09 	 0.35308100
4067.73 	 0.35818500
4072.44 	 0.35124200
4074.05 	 0.35608500
4079.01 	 0.35446100
4089.85 	 0.35956500
4100.36 	 0.35557900
4113.78 	 0.34457400
4118.07 	 0.36266100
4123.84 	 0.34130900
4126.32 	 0.35625400
4134.47 	 0.33694100
4146.88 	 0.34915700
4149.35 	 0.34452800
4168.03 	 0.35610100
4170.63 	 0.36286000
4179.73 	 0.36088300
4187.07 	 0.35098100
4187.67 	 0.35395500
4188.68 	 0.34603000
4191.36 	 0.35565600
4206.57 	 0.34529500
4220.48 	 0.35329600
4221.27 	 0.35518100
4344.54 	 0.34192300
4352.07 	 0.35812400
4358.37 	 0.35003100
4362.83 	 0.34247400
4378.56 	 0.34166200
4397.58 	 0.34535600
4402.06 	 0.35337200
4412.02 	 0.33787600
4427.21 	 0.34848300
4429.88 	 0.34385400
4439.96 	 0.35596300
4444.75 	 0.35314200
4461.78 	 0.35435300
4476.37 	 0.35801700
4477.57 	 0.35639200
4478.98 	 0.35912000
4488.18 	 0.35954900
4489.47 	 0.35771000
4504.87 	 0.34002200
4556.08 	 0.36201700
4583.18 	 0.34222900
4591.07 	 0.33822900
4630.31 	 0.34780800
4647.86 	 0.35141000
4658.33 	 0.34373100
4664.99 	 0.33525500
4715.07 	 0.33891800
4721.15 	 0.34906500
4751.35 	 0.35418500
4752.07 	 0.33519400
4757.51 	 0.34035900
4793.91 	 0.33786100
4814.01 	 0.33683400
4815.15 	 0.34221400
4820.14 	 0.35328000
4829.19 	 0.33919400
4852.39 	 0.34477400
4875.73 	 0.32490900
4877.13 	 0.32546100
4880.28 	 0.33211300
4889.15 	 0.33209800
4926.86 	 0.34236700
4935.29 	 0.35191600
4963.43 	 0.34704200
4967.92 	 0.34436000
4980.40 	 0.34161600
4989.56 	 0.34092600
4990.76 	 0.35361800
5015.32 	 0.35628500
5026.25 	 0.34831400
5033.10 	 0.34181500
5044.09 	 0.33117800
5061.31 	 0.34143200
5067.97 	 0.32674800
5070.98 	 0.33050400
5084.21 	 0.32322300
5088.25 	 0.33899500
5113.08 	 0.34489600
5161.14 	 0.33715600
5171.34 	 0.33294100
5210.65 	 0.34163100
5214.54 	 0.33185200
5217.95 	 0.32487800
5237.70 	 0.32518500
5256.65 	 0.33035000
5271.20 	 0.34221400
5283.33 	 0.33398300
5291.64 	 0.33007400
5313.45 	 0.33312500
5331.66 	 0.33470300
5336.23 	 0.33937800
5345.87 	 0.32684000
5354.43 	 0.33902600
5367.72 	 0.33130100
5372.55 	 0.33917900
5376.55 	 0.33720200
5379.28 	 0.34089600
